"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Two Guys in One","","8","8","0","16","50","1470","04/12/2014 12:00:00 AM"
"","Omni","","16","21","0","37","43","1465","04/12/2014 12:00:00 AM"
"","Lon","","11","18","0","29","37","1449","04/12/2014 12:00:00 AM"
"","Holliday","","8","10","0","18","44","1446","04/12/2014 12:00:00 AM"
"","Arson","","8","9","0","17","47","1443","04/12/2014 12:00:00 AM"
"","Fedex","","12","15","0","27","44","1413","04/12/2014 12:00:00 AM"
"","SilentJ","","9","13","0","22","40","1413","04/12/2014 12:00:00 AM"
"","Midnight Maveric","","2","2","0","4","50","1412","04/12/2014 12:00:00 AM"
"","Hexagon","","12","19","0","31","38","1404","04/12/2014 12:00:00 AM"
"","NexusFlip","","8","20","0","28","28","1402","03/01/2015 12:00:00 AM"
"","Savy eh?","","12","18","0","30","40","1387","04/12/2014 12:00:00 AM"
"","Yoshara","","26","55","0","81","32","1385","04/12/2014 12:00:00 AM"
"","CeOuNerd","","14","31","0","45","31","1373","04/12/2014 12:00:00 AM"
"","Borz","","19","38","0","57","33","1372","09/01/2015 12:00:00 AM"
"","Lilseph","","8","14","0","22","36","1361","04/12/2014 12:00:00 AM"
"","C-lusion","","8","9","0","17","47","1359","04/12/2014 12:00:00 AM"
"","Geenareeno","","4","4","0","8","50","1358","21/12/2014 12:00:00 AM"
"","YellowBob0","","10","23","0","33","30","1353","09/01/2015 12:00:00 AM"
"","Mike Chau","","3","4","0","7","42","1350","04/12/2014 12:00:00 AM"
"","Mo","","2","2","0","4","50","1336","04/12/2014 12:00:00 AM"
"","PV","","5","7","0","12","41","1334","04/12/2014 12:00:00 AM"
"","FTW","","5","4","0","9","55","1333","04/12/2014 12:00:00 AM"
"","Jara","","8","17","0","25","32","1329","04/12/2014 12:00:00 AM"
"","DaSupaLuis","","2","4","0","6","33","1312","04/12/2014 12:00:00 AM"
"","Deez","","8","15","0","23","34","1305","21/12/2014 12:00:00 AM"
"","Merv","","3","4","0","7","42","1304","04/12/2014 12:00:00 AM"
"","Bast","","5","8","0","13","38","1301","09/01/2015 12:00:00 AM"
"","Xerox","","28","44","0","72","38","1276","05/12/2014 12:00:00 AM"
"","Mouse","","5","4","0","9","55","1270","04/12/2014 12:00:00 AM"
"","Kieu","","7","8","0","15","46","1242","04/12/2014 12:00:00 AM"
"","Semicolon","","4","6","0","10","40","1241","04/12/2014 12:00:00 AM"
"","CrimsonBeast","","12","17","0","29","41","1239","21/12/2014 12:00:00 AM"
"","Afro","","6","12","0","18","33","1236","06/12/2014 12:00:00 AM"
"","Konnar","","3","4","0","7","42","1228","04/12/2014 12:00:00 AM"
"","Omicron","","7","11","0","18","38","1215","04/12/2014 12:00:00 AM"
"","SDK","","25","45","0","70","35","1213","04/01/2015 3:08:17 PM"
"","kgAo","","16","24","0","40","40","1201","04/12/2014 12:00:00 AM"
"","Salsa","","29","71","0","100","29","1195","21/12/2014 12:00:00 AM"
"","Dookie","","3","1","0","4","75","1182","04/12/2014 12:00:00 AM"
"","Kull","","15","26","0","41","36","1180","21/12/2014 12:00:00 AM"
"","Bxxrams","","11","22","0","33","33","1177","04/12/2014 12:00:00 AM"
"","Hype","","9","21","0","30","30","1163","04/12/2014 12:00:00 AM"
"","Johnknee","","6","5","0","11","54","1137","04/12/2014 12:00:00 AM"
"","Scimitar","","4","6","0","10","40","1135","04/12/2014 12:00:00 AM"
"","JRK","","2","2","0","4","50","1123","04/12/2014 12:00:00 AM"
